segment,tbin,unique_ids
S1,0.0,31
S1,5.0,23
S1,10.0,34
S1,15.0,34
S1,20.0,36
S1,25.0,30
S1,30.0,28
S1,35.0,24
S1,40.0,33
S1,45.0,29
S1,50.0,28
S1,55.0,35
S2,0.0,26
S2,5.0,22
S2,10.0,28
S2,15.0,28
S2,20.0,32
S2,25.0,26
S2,30.0,28
S2,35.0,17
S2,40.0,20
S2,45.0,22
S2,50.0,21
S2,55.0,26
S3,0.0,25
S3,5.0,21
S3,10.0,18
S3,15.0,23
S3,20.0,25
S3,25.0,22
S3,30.0,21
S3,35.0,19
S3,40.0,17
S3,45.0,18
S3,50.0,12
S3,55.0,18
S4,0.0,22
S4,5.0,14
S4,10.0,18
S4,15.0,21
S4,20.0,27
S4,25.0,22
S4,30.0,22
S4,35.0,20
S4,40.0,19
S4,45.0,21
S4,50.0,10
S4,55.0,17
