segment,tbin,unique_ids
S1,0.0,17
S1,5.0,16
S1,10.0,11
S1,15.0,14
S1,20.0,19
S1,25.0,18
S1,30.0,17
S1,35.0,23
S1,40.0,27
S1,45.0,19
S1,50.0,16
S1,55.0,16
S1,60.0,19
S1,65.0,15
S1,70.0,14
S1,75.0,14
S1,80.0,16
S1,85.0,20
S1,90.0,16
S1,95.0,16
S1,100.0,16
S1,105.0,17
S1,110.0,11
S1,115.0,22
S2,0.0,18
S2,5.0,12
S2,10.0,8
S2,15.0,15
S2,20.0,20
S2,25.0,12
S2,30.0,19
S2,35.0,15
S2,40.0,17
S2,45.0,19
S2,50.0,14
S2,55.0,13
S2,60.0,17
S2,65.0,14
S2,70.0,15
S2,75.0,10
S2,80.0,13
S2,85.0,12
S2,90.0,12
S2,95.0,11
S2,100.0,12
S2,105.0,9
S2,110.0,13
S2,115.0,17
S3,0.0,18
S3,5.0,10
S3,10.0,13
S3,15.0,10
S3,20.0,10
S3,25.0,9
S3,30.0,13
S3,35.0,12
S3,40.0,15
S3,45.0,14
S3,50.0,15
S3,55.0,9
S3,60.0,13
S3,65.0,11
S3,70.0,12
S3,75.0,9
S3,80.0,10
S3,85.0,9
S3,90.0,11
S3,95.0,12
S3,100.0,7
S3,105.0,4
S3,110.0,9
S3,115.0,12
S4,0.0,15
S4,5.0,12
S4,10.0,7
S4,15.0,8
S4,20.0,11
S4,25.0,9
S4,30.0,10
S4,35.0,12
S4,40.0,17
S4,45.0,11
S4,50.0,15
S4,55.0,10
S4,60.0,13
S4,65.0,15
S4,70.0,12
S4,75.0,11
S4,80.0,8
S4,85.0,14
S4,90.0,14
S4,95.0,10
S4,100.0,6
S4,105.0,4
S4,110.0,8
S4,115.0,10
